id,Текст Сообщения,Тематика,Ответственное лицо,Категория,Ответственное,persons
1505,"<p>добрый день!</p><p>ть результат капитальный ремонт мкд ул. гайдар 2, провести “чутким” надзор фкр курский область май -август 2016года, &nbsp;длительный время происходить постоянный замачивание карниз &nbsp;ь наружный стена здания, результат штукатурка отслаиваться отваливаться происходить увлажнение кирпичный кладка несущий стен.</p><p>несмотрить решение областной арбитражный суд курский область апелляционный суд 2019г., который обязать фкр провести повторный ремонт здания, частность крыша здание учёт требование проведение проектный строительный работа здание приобрести культурный наследия, настоящий время выполнено!</p><p>просить оказать содействие &nbsp;решение указанный проблемы!</p><p>фото прилагаю.</p><p>&nbsp;</p>",некачественный капитальный ремонт многоквартирный дом,Комитет жилищно-коммунального хозяйства и ТЭК Курской области,3.0,47,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
347,<p>просить повесить баннер “с 9 мая” стол мост р. сейм. также просить придать человек праздничный настроение повесить настолб символика государство флаг победы.</p>,низкий качество проведение культурно-массовый мероприятие,Администрация города Льгов,5.0,36,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
2049,"кран течь ржавый вода, каждый воскресенье, человек мыться рабочий неделить",некачественный водоснабжение многоквартирный дом,Государственная жилищная инспекция Курской области,3.0,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
2398,"роман владимирович, пока бороться вакцинированнием, строить дороги, ремонтировать больницы, школы, детский сады, детский плошадки! действительно серьёзный проблема который должный решиться краткий срок прославиться россию. льговский районе, деревня сугровый трасса курск - льгов иметься мост который находиться аварийный состоянии, почему ремонтируют, пора уже. железнодорожник день следовать льгов суджа свой тепловозе, остановиться запечатлеть серьёзный проблему, мост каждый сильный ливень размывает, место отваливаться бетонный конструкция сам моста. реально грясти серьёзный ситуация обвал дорога мостовый сооружения. допустить такой бед, просить срочно принять меры.",нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Комитет транспорта и автомобильных дорог Курской области,0.0,63,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
2806,"здравствуйте, знаю, верно хотеть обратиться вопрос портал нужно конкретно направить письмо. мой обращение касаться необходимости, мой мнению, снос называть детский площадки-свалки. площадка снимать фильм ужасов. часто встречать двор наш город такой конструкции- лебедь шина цветочек пластиковый бутылок. этот площадка кроме опасность несет. находиться прямо забор стадион школа №49. какой-то бесконечный нагромождение доска гвоздь парочка старый резиновый игрушек. убрать позор? здорово, конечно, поставить место хороший детский площадку, убрать опасный кошмар плохо",неудовлетворительный содержание детский (спортивной) площадка территория многоквартирный дом,Комитет жилищно-коммунального хозяйства города Курска,3.0,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
973,"<p>добрый дня!&nbsp;</p><p>переть ремонт трасса м-2 район снт лавсан установить отбойник посередине дорога это закрыть проезд транспорт (в число маршруток) дача садовый общество лавсан. хотя ранний законный поворот ходить общественный транспорт (маршрутки), который человек ездить свой дача огородов.&nbsp;</p><p>ть снт примерно 2 000 дачный участок владелец - пожилой люди, либо семья детьми, который приходиться пешком идти гора (подъесть дороги) бездорожье прямо федеральный трасса 2-3 километра, добраться свих садовый участок огородов. обратно человек ехать тяжёлый сумка тележка (а плюс к весь пора сбор урожая). &nbsp;длить человек сообщество дорога превратиться ад!!! многие просто мочь ездить, преодолеть такой расстояние пешком такой условие стать невозможно.</p><p>попытка решить вопрос транспортный комитет - увенчаться успехом, ссылаться то, дорога строить московский власть курск никто решить вопрос. человек отправлять писать жалоба интернете, это пожилой люди, старики, который мочь сделать такой предложение звучать издевательства.</p><p>сейчас дойти того, человек собираться перекрыть федеральный трассу, никто обращать внимание проблему.&nbsp;</p><p>очень просить помочь оказать содействие организация проезд общественный транспорт (маршруток) дача снт лавсан. готовый собрать подпись привезти скажете.</p><p><br data-cke-filler=`true`></p>",остановка общественный транспорт дорога региональный межмуниципальный значение,Комитет транспорта и автомобильных дорог Курской области,0.0,63,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
371,"<p style=`margin-left:0cm;text-align:center;`><span style=`color:black;`><strong>уважать роман владимирович!</strong></span></p><p style=`margin-left:0cm;`>&nbsp;</p><p style=`text-align:justify;`><span style=`color:black;`>обращаться дачник (снт) `химфарм`&nbsp;(</span><span style=`color:#0c0e31;`><u>дат регистрации&nbsp;</u></span><span style=`color:#35383b;`><u>30.06.1999 ю</u></span><span style=`color:#0c0e31;`><u>р. адрес:&nbsp;</u></span><span style=`color:#35383b;`><u>305511, курский область, курский район, деревня щетинка еще&nbsp;</u></span><a href=`https://www.rusprofile.ru/connections/3007661?status=actual&amp;filter=address`><span style=`color:#346df1;`>10 организаций</span></a><span style=`color:#35383b;`><u> этот адресу. председатель </u></span><span style=`color:blue;`><u>дорохов елена леонидовна</u></span><span style=`color:#35383b;`><u>)</u></span><span style=`color:black;`>.</span></p><p><span style=`color:black;`><strong><u>&nbsp;дый настоящий время (11.05.2021г.) снт подача воды. (взнос составлять 3000р + плата свет).&nbsp;</u></strong></span></p><p><span style=`color:black;`>до&nbsp;22 август 2016г.( <strong>информационно</strong>: премьер рф дмитрий медведев рамка рабочий поездка курский область посетить садовый некоммерческий товарищество (снт) `химфарм` осмотреть <strong>один&nbsp;</strong>из участок товарищества.ть ход осмотр хозяин показать премьера подсобный хозяйство, также угостить яблоко свой сада)&nbsp;все хорошо, тот пора отчёт трата денежный средство проводиться словах, проверка финансово-хозяйственный деятельность проводиться формально, кворум собрание тот пора отсутствовать переизбрать председатель возможно.&nbsp;</span></p><p style=`text-align:justify;`><span style=`color:black;`>переть дорохов е.л является</span><span style=`color:#222222;`> 5 март 2020 г.</span><span style=`color:black;`>&nbsp;</span><span style=`color:#222222;`><strong>председатель курский региональный отделение общероссийский общественный организация `союз садовод россии` (</strong>инн&nbsp;463239244868.<strong> юридический адрес.&nbsp;</strong>305000, курский область, г. курск, площадь красная, д. 6, помещение 21, 20.</span></p><p style=`text-align:justify;`><span style=`color:#222222;`>просить инициировать проверка (с постановка ваш личный контроль) деятельность председатель снт «химфарм» дорохов елена леонидович подчинённый персонала.&nbsp;</span></p><p><span style=`color:#222222;`><strong>спасибо ваш забота простой пенсионер просто житель курский области.</strong></span></p>",некачественный водоснабжение район частное сектор,Администрация Курского района,3.0,11,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
2978,"двор дом ул. радищев 118, летний ураган один больший ветка натянуть провода, обращаться этот поводу,ный написано,чтый убрано. это соответствовать действительности. просить обрезать ствол дерево предотвратить обрыв проводов.",аварийный дерево,Комитет жилищно-коммунального хозяйства города Курска,3.0,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1304,<p>вот мусорный пейзаж &nbsp;можный наблюдать рядом дом офис мтс.</p>,соответствовать установленный норма сбор вывоз твёрдый бытовой отход район многоквартирный дом,Комитет жилищно-коммунального хозяйства города Курска,3.0,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
2001,"отсутствовать тротуары,пешеходный дорожка",необходимо строительство тротуар,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1003,"<p>добрый день! обращение имя жилец дом номер 2 привокзальный площадь город курска, конкретно жительница квартира № 60 пенсионерки, ветеран труд кузнецов наталья васильевны. известно, дом признать культурный наследие города.&nbsp; &nbsp;ть настоящий время дом проводиться капитальный ремонт, отремонтировать кровля фасады, внутри подъезд остаться ремонтированы. проблема состоять том, подвал несколько подъезд дом залить вода фекалиями, кишеть насекомое грызунами. закрытый подвал дверь доноситься запах нечистоты непереносим, окно квартира этаж открыть нельзя. неоднократный обращение управлять компания № 1 г. курска, обслуживающий дом, результат принесли. просьба жилец найти рычаг реагирование создать называть дом культурный наследие условия, соответствующий санитарно-гигиенический нормам.&nbsp;</p><p>p.s. фотоматериал приложить представляться возможным, т.к. дверь подвал закрытый управлять компания отсутствовать освещение, запах нечистоты фото чувствоваться компьютер передается.</p>",несвоевременный (некачественный) текущий ремонт многоквартирный дом,Государственная жилищная инспекция Курской области,3.0,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
331,"<p>здравствуйте. жить ул. масалова, д. 83. отсутствовать дорога д. 75 нашего. 2017 год мы обещаться сделать. госзакупки, который наш дорога поделить участки, сделали, наш часть нет. вместо наш участок дорога 2019 год сделать проулок ул. масалов ул. 1ая коноплянка. наш запрос администрацию, какой основание сделать участок дороги, который являться дорога ул. масалова, мы ответили, решить бывший глава курский района. того, исполнить контракт последний два участкам, хищение бюджетный средств, т.к. щебень один участок засыпан, уйти второй участок, проулок смета заложить щебень песок, который использован. неоднократно писать прокуратуру, администрацию, губернатор курский области, дороги, остались. мы нормальный подъездгый путь случай непредвиденный ситуаций, дождливый погода грязь, мы проехать пожарный машина, скорая, который кстати слово сосед застревать дороге. сегодня, 26.04.2021 год звонить адмистрация просить дать вразумительный ответ повод ремонт часть дороги, получить ответ, такой быть, значит закупка участок проекту, хотя документация закупка прикрепить проекта, просто название участок протяженность. губернатор народный фронт обещать сделать год май дорогу, получаться дороги. двое детей, мочь велосипед покататбся, просто безопасно пройти, подвернуть нога упасть грязь. просить помочь нам, житель ул. масалова, решение вопрос дорога наш улице.</p>",отсутствие твёрдый дорожный покрытие дорога микрорайон ижс,Администрация Курского района,0.0,11,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
1491,<p>ич мочь вызвать врача. контактировать ковидный больным. делать?&nbsp;</p>,неудовлетворительный качество оказание медицинский помощь,Комитет здравоохранения Курской области,4.0,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
2314,"14 май 2021 года, направить обращение аварийный канализационный коллектор ул. соловьиный г.курске. результат обильный осадков, произойти перенасышение грунт сточный водами, вследствие канализационный коллектор справиться нагрузка фекалия потечь приусадебный участкам, дом 20 12 дом включительно. однако 10.06. утром получить отписка администрация город курска, устранение дать проблемы. я высказать замечание повод формальный решение вопроса, никто факт заниматься ремонт данный коллектора. сегодня 10 июнь 16 часов, обильный осадков, аварийный коллектор вновь фекальный вода потечь участкам. связь чем, просить вызвать представитель роспотребнадзор росприроднадзор забор проба грунта. вызвать представитель сэс проведение санитарный обработка участок фекалий, цель предотвращение распрастранение инфекционный заболеваний; вызвать представитель роспотребнадзор составление акт подтопление приусадебный участок фекалиями; просить устранить данный проблема существу, бумаге. уважением, ковалёв лариса 89036336088",ливневый канализация,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
923,<p>несанкционированный свалка бытовой мусора</p>,несанкционированный свалка твёрдый бытовой отход,Комитет городского хозяйства города Курска,16.0,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1986,"работать секция светрфора пешеходов. остановка `мои документы`, направление движение сторона центр",светофор дорога граница городской округ сельский поселение,Администрация города Курска,0.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2270,"дом 34 проспечь победа косить траву. прошлый год пока написать сюда жалоба , комитет дорожный хозяйство подрядчик думать покос трава трава человеческий рост. данный момент сорный трава такой высокий нужно косить. поставить галочка , нужно осуществлять покос кажды год, начать жаловаться люди?",нескошенный сорный растительность место общий пользование микрорайон ижс,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1043,"<p>ть течение несколько месяц работать освещение мирный проезд напротив дом №3 5. вечер кромешный тьма, выбоина дорога нога сломать. обращение управлять компания эффект возымели.&nbsp;</p>",неработающий наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,3.0,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
2151,"ям становиться больше, почему управлять компания кпд ремонтирует?",ям выбоина внутридворовый проезд тротуар район многоквартирный дом,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2485,июль месяц получить пособие ребёнок 3 7 размер 171 рубль вместо 5000. узнать причине?,нарушение вопрос назначение выплата пособие компенсация,"Комитет социального обеспечения, материнства и детства Курской области",10.0,61,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
2,"<p>ть многоквартирный дом ,расположить адресу: г.курск,ул.харьковская,д.14 температура воздух жилой помещение ниже температура ,установленный законодательство рф. инженерный служба обслуживающий организация обследовать квартира снять параметр тепловой узел наш доме.температура теплоноситель подавать трубопровод система отопление дом составлять +48 градусов,давление система низкий .акт обследование квартира параметр система отопление составлен.к система отопление вопрос нет, капитальный ремонт провести 2017 год . просить принять мера ооо квадра,которать выполнять свой обязательство поставка тепло , соблюдать температурный график подача тепло жилой дом год год. недопоставка тепло составлять 20-25 процентов. ежегодно ,начинать декабрь февраль ,приходиться заниматься один :вызывать ук ,затем представителей. ооо `квадра,` температура выше +18 видели.такать ситуация сложиться наш доме. пора власть употребить! председатель совет дом левашов а.и. тело 8-951-327-87-89.</p>",нарушение теплоснабжение многоквартирный дом,Государственная жилищная инспекция Курской области,3.0,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
2585,просить произвести покос сорный растительность проезжий часть проспект дружба улица студенческий тротуар район дом №2 проспект дружба,неудовлетворительный содержание клумба газон,Комитет дорожного хозяйства города Курска,3.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
1658,"<p>по направление движение сторона красный площадь установить дорожный знак “остановка запрещена” ограничение время 8-00 12-00 14-00 17-30. изначально это очень хороший решение помогать освободить проезжий часть возле лицей №6 имя булатов возможность привезти ребёнок школа забрать машине, остановиться либо начало занятий, либо завершения.</p><p>однако, проблема том, первоклассник занятие часто заканчиваться 11:30 такой образ именно родитель первоклассник лишить возможность остановить машина забрать урок первый смена (хотеть именно первоклассник это требоваться первый очередь ввиду малое возраста).</p><p>предлагать внести корректировка ограничение время указанный дорожный знак время первый промежуток действие запрет остановка 8:00 11:30, 12:00.</p>",дорожный знак дорога граница городской округ сельский поселение,Комитет дорожного хозяйства города Курска,0.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
798,"<p>добрый утро!&nbsp;</p><p>хотать обратить ваш мнимание то, сделать новый дорога ул. 40 год октября, дело остановка “40 год октября” &nbsp;как ехать вокзал обозначить дорожный знак сделать прощадка высадка посадка пассажиров. это такой отношение подрядчика, делать положить деньга получить все. также просить обратить внимание ост. 40 год октябрь пешеходный переход установить освещение, просить также установить данный участок освещения. надеяться устранить недостатки.&nbsp;</p>",нарушение правило посадка высадка пассажир осуществление муниципальный (пригородных) перевозка,Администрация города Льгов,8.0,36,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
2774,разбитый остановочный павильон около аллея подводник ул боец 9 дивизия,нарушение правило посадка высадка пассажир осуществление муниципальный (пригородных) перевозка,Комитет дорожного хозяйства города Курска,8.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
1546,"<p>когда закупить мебель поликлиника льговский црб?&nbsp;</p><p>ич фото показать кабинет поликлинике, посмотреть какой полка , удивляться почему теряться документы. надеяться закупить данный кабинет новый мебель сделать перестановка такой образ пациент удобно.</p><p>фото взять открытый источников- соответствовать реальности</p><p>номер кабинет сожаление помню&nbsp;</p>",неудовлетворительный материально-технический состояние учреждение здравоохранение,Комитет здравоохранения Курской области,4.0,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
552,"<p>светофор, расположить к. маркс 77\2 позволять быстро удобно переходить дорога месте. &nbsp;особенно рядом дети. страшно.&nbsp;</p>",светофор дорога региональный межмуниципальный значение,Комитет дорожного хозяйства города Курска,0.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
2843,"столовая трапеза ползать таракан еде, летать муха переодически(видимо установить отпугиватель насекомых). персонал весь работать масках. обед 13:00 14:00 соблюдаться дистанция среди посетителей. скапливаться больший очередь. многоразовый столовая прибор находиться общий доступе, влиять чистоту. раздача еда открытый тип пища никак огородить посетителей, прямой воздушнокапельный контакт. столовая находиться 3 этаж европа дружба 9а.","нарушения, связанный обеспечение детский питание","Комитет промышленности, торговли и предпринимательства Курской области",4.0,60,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
2075,"возле мбдоу # 124 г. курска, отсутствовать пешеходный тротуар, постоянный грязь, пыль, место парковка автомобилей. дико расти растение (куст деревья) срезаться десятилетиями. обратить внимание жд округ. совершенно благоустройство жителей.",необходимо строительство тротуар,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
29,"<p>просить пустить новый автобусный маршрут жд вокзал--автовокзал (50 год октября). автобус должный большой вместимости, например, лиазы. пазик маршрутка данный маршрут мы даром нужны. маршрут должный положить мегагрин. убедительный простой вешать реклама пол окна.&nbsp;</p>",неудобный график движение осуществление муниципальный (пригородных) перевозка,Администрация города Курска,8.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1532,"<p>ич проезжий часть напротив здание ул. димитров 25а образоваться постепенно увеличиваться провал. место огорожено. срочно устранить провал дорожный покрытии, произойти авария (учитывать печальный случаи, который происходить г. курске). также данный сообщение просить учитывать аргумент, поздний быть выдвигаться иск возмещение различный ущерб результат недобросовестный обслуживание дорожный покрытия.</p>",нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Комитет дорожного хозяйства города Курска,0.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
1931,"рука вон плохо убирать мусор двор дом улица черняховский 20,20б,22",соответствовать установленный норма сбор вывоз твёрдый бытовой отход район многоквартирный дом,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2321,здравствуйте! напротив дом указанный адрес произойти разрушение дорожный покрытие порыв труба холодное водоснабжения. асфальтный покрытие сей пора восстановлено. просить произвести восстановление асфальтный покрытие отремонтировать данный участок дороги.,нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Администрация города Курска,0.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1735,"<p>здравствовать &nbsp;подскажите, предпринять какой-то меры, указание усиление охрана детский дошкольный заведений, связь жёлтый уровнем, приграничный областью, связь недавний событие ульяновский область детский саду?&nbsp;<br>ть частность курчатов детский сад лишь номинально охранник, место нет....&nbsp;<br>подскажите, кто обратиться это вопросом?</p><p>&nbsp;</p>",неудовлетворительный материально-технический обеспечение дошкольный учреждение,Администрация города Курчатова,7.0,35,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
389,<p><strong>ич так никакой данные второй вакцина сертификата</strong></p>,вакцинация covid-19,Комитет здравоохранения Курской области,4.0,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
7,"<p><strong>добрый день,роман владимирович! наш льговский чиновник отличились: вчера сегодня дорога гололёд,идть невозможно,ехать невозможно…около находиться мбоу сош 4 лёд сплошной, ребёнок идти школа домой понимаем. чиновник сваливать проблема друг друга…звонить администрацию, жкх, дэп везде ответ это занимаемся….роман владимирович, &nbsp;сплошный гололед…..</strong></p>",нарушение дорожный покрытие (ямы) дорога региональный межмуниципальный значение,Администрация города Льгов,0.0,36,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
1559,<p>переболеть ковид.выписать 14.02.2022г. &nbsp; госуслуга сей пора прийти сертификат переболевшего. <span style=`background-color:#ffffff; color:#66727f`>больничный лист № </span><strong>910108294018.&nbsp;</strong>&nbsp;<br /> пцр covid-19 № 7000 0000 9267 3190</p>,сертификат переболеть,Комитет здравоохранения Курской области,4.0,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
1075,"<p>почему п.глушково скорый помощь приезжать 54 минуты, почему один машина посёлок район, вызвать скорый п. глушково сказать поехать лещиновку, ждать 54 минута это время умереть несколько раз&nbsp;</p>",неудовлетворительный качество оказание медицинский помощь,Комитет здравоохранения Курской области,4.0,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
1720,"<p>ич дублёр энгельса, возле дом 90 месяц назад образоваться провал. администрация бездейстаует. зато возле администрация сутки дырка заделали. вино простой человек плевать. ждете, ребёнок падать яма начнут? глубина 2 метров&nbsp;</p>",нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Комитет дорожного хозяйства города Курска,0.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
2880,"здравствуйте,раный обращаться разъяснение бесплатный лекарство ребёнок . ответ абсолютно понятный . задать вопрос посмотреть список бесплатный препаратов. получить ответ ,спросить свой больница . список бесплатный лекарство определять регион ,но никак поликлиника. ещё вопрос : мочь увидеть список положить бесплатный лекарство ребёнок ???",нарушение связанный обеспечение лекарственный средство,Комитет здравоохранения Курской области,4.0,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
1903,"твёрдый бытовой отход делать человек который печный отопление разница мусор гореть город свалка дом это должный заплатить это сжигаться должный дышать понимать город некуда девать многоквартирный дом сельский местность найти применение вообще месяц 3 выбрасывать мочь насобирать ведро мусор заплатить важно пользоваться нет, уезжать нечего выбрасывать, платить нужно, кстати компания который собирать мусор договор кто заключала, просто тупо начать приходить квитанция местный администрация получаться договор заключить пускай администрация платит. почему делаться спиной. тариф сказать сельский местность быть повышать расти постоянно.",соответствовать установленный норма сбор вывоз твёрдый бытовой отход территория частное сектор,Комитет жилищно-коммунального хозяйства и ТЭК Курской области,3.0,47,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
1935,"добрый день, неработающий наружное освещение проспект дружба 19в подъезд 4-5, подъезд 5 гореть плафон дверью, подъезд работать освещение фонарный столбе, столб запитать отдельно - провод ук притянуть подъезда, включался(когда работать гореть один лампа двух)вместе весь остальной дворовый городской освещением, клавиша подъезд - говорить ук сделать это самовольно, документально проекту!",неработающий наружное освещение,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
779,"<p>когда перерасить троллейбус тролза-5265.08 «мегаполис» № 052 зиу-682г-016.04 №019</p><p>в год перекрашиваете, мочь перекрасить.&nbsp;</p>",неудовлетворительный санитарный состояние транспорт осуществление муниципальный (пригородных) перевозка,Департамент пассажирского транспорта города Курска,8.0,40,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
2186,здравствуйте. огромный ям 9 суворовский 11 суворовский переулках. ездить невозможно.,нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Администрация города Курска,0.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1770,"<p style=`margin-left:0px;`><br data-cke-filler=`true`></p><p style=`margin-left:0px;`>здравствуйте,уважать роман владимирович!</p><p style=`margin-left:0px;`>м житель с.орлянка наш посёлок поздняковский сонцевский р-на курский обл. обращаться 21 декабрь 2021 г. просьба помочь мы провести воду,ный ответ дать район.да,приехали,посмотрели,сказали,чтый поставить 6 колонок,ный действие никаких. дать отписку,чтый работать колонка,ный работать 7 лет,только стоить кол,где крепить электропровода,ный ничего.ть доказательство прилагать фотографию.</p><p style=`margin-left:0px;`>просить рассмотреть наш просьбу. район обращаться ещё в&nbsp; 2013 г. мы сказали,чтый быть включить 2020 году,ный идти 2022 год нет. посёлок жить один пенсионер собрать наш подписи,прилагать фотографию.</p>",некачественный водоснабжение район частное сектор,Администрация Солнцевского района,3.0,23,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
